name,rating_nums,summary,author,peple_nums
笑傲江湖（全四册）,9.0,武侠的壳，政治斗争的核,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,"(
                    53276人评价
                )"
人类简史,9.1,跟着人类一同走过十万年,[以色列]尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11-1 / CNY 68.00,"(
                    51668人评价
                )"
福尔摩斯探案全集（上中下）,9.2,侦探小说鼻祖,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元,"(
                    50763人评价
                )"
1984,9.3,栗树荫下，我出卖你，你出卖我,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00,"(
                    49876人评价
                )"
遇见未知的自己,8.1,都市灵修速成,张德芬 / 华夏出版社 / 2008-1 / 29.00,"(
                    56628人评价
                )"
无声告白,8.2,莉迪亚死了，可他们还不知道,[美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元,"(
                    55557人评价
                )"
人间失格,8.3,令人无从怜悯的绝望,太宰治 / 许时嘉 / 吉林出版集团有限责任公司 / 2009年9月 / 16.00元,"(
                    54296人评价
                )"
情书,8.6,一场误会中的两段爱情，东方式的含蓄隐忍,[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元,"(
                    50965人评价
                )"
茶花女,8.2,妓女应当拥有爱情吗？,小仲马 / 王振孙 / 外国文学出版社 / 1997-3 / 9.00元,"(
                    53391人评价
                )"
神雕侠侣,8.8,至情至性，情大于武,金庸 / 有1996年11月北平第4次印本 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,"(
                    48305人评价
                )"
一个陌生女人的来信,8.7,暗恋的极致,[奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元,"(
                    49248人评价
                )"
白鹿原,8.6,中国乡村史诗,陈忠实 / 人民文学出版社 / 1997-12 / 28.00元,"(
                    48573人评价
                )"
沉默的大多数,9.1,沉默是沉默者的通行证,王小波 / 中国青年出版社 / 1997-10 / 27.00元,"(
                    46407人评价
                )"
当我谈跑步时我谈些什么,8.1,村上同志告诉我们，身体是革命的本钱,[日] 村上春树 / 施小炜 / 南海出版公司 / 2009-1 / 25.00,"(
                    49564人评价
                )"
这些人，那些事,8.8,平淡叙述下的惊心动魄,吴念真 / 译林出版社 / 2011-9 / 28.00元,"(
                    45007人评价
                )"
东方快车谋杀案,9.0,谋杀诡计惊人，波洛的抉择耐人寻味,[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元,"(
                    43057人评价
                )"
这些都是你给我的爱,8.4,只言片语的温暖,文：安东尼 / 长江文艺出版社 / 2010-3 / 24.80元,"(
                    45465人评价
                )"
肖申克的救赎,9.1,希望让人自由，电影实在太有名,[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元,"(
                    42075人评价
                )"
鲁滨逊漂流记,8.0,最早的荒野求生,[英] 笛福 / 马静 / 广西民族出版社 / 2002-1 / 9.20元,"(
                    47894人评价
                )"
喜宝,8.0,爱情才是终极的奢侈品,亦舒 / 新世界出版社 / 2007-2 / 22.00元,"(
                    46664人评价
                )"
巴黎圣母院,8.3,潜藏于残缺下的美与崇高,[法]雨果 / 陈敬容 / 人民文学出版社 / 1982-6 / 22.50元,"(
                    44819人评价
                )"
羊脂球,8.1,资产阶级的道貌岸然,（法）莫泊桑 / 柳鸣九 / 北京燕山出版社 / 2007-6 / 13.50元,"(
                    46152人评价
                )"
局外人,9.0,人生在世，永远也不该演戏作假,[法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-9 / 22.00元,"(
                    40835人评价
                )"
陪安东尼度过漫长岁月,8.3,真正的片段式写作,安东尼 / 长江文艺出版社 / 2008-3 / 18.00,"(
                    43770人评价
                )"
呐喊,8.8,新文学的第一声呐喊,鲁迅 / 人民文学出版社 / 1973年3月 / 0.36元,"(
                    40195人评价
                )"
红玫瑰与白玫瑰,8.4,蚊子血还是饭黏子？,张爱玲 / 花城出版社 / 1996-06 / 12.80元,"(
                    42644人评价
                )"
巨人的陨落,8.9,五个家族，一场战争,[英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / 129.80元,"(
                    38951人评价
                )"
爱你就像爱生命,8.8,王小波与李银河的两地书,王小波 / 上海锦绣文章出版社 / 2008-5 / 18.00元,"(
                    39905人评价
                )"
无人生还,8.9,童谣杀人案,[英] 阿加莎・克里斯蒂 / 祁阿红 / 人民文学出版社 / 2008-3 / 19.00,"(
                    39434人评价
                )"
华胥引（全二册）,8.4,现实不如梦中的圆满,唐七公子 / 现代出版社 / 2011-1 / 39.80元,"(
                    41500人评价
                )"
鬼吹灯之精绝古城,8.1,盗墓祖师名不虚传,天下霸唱 / 安徽文艺出版社 / 2006 / 25.0,"(
                    42152人评价
                )"
了不起的盖茨比,8.3,梦，就像黛西家的那一缕绿光,菲茨杰拉德 / 姚乃强 / 人民文学出版社 / 2004-06 / 12.00元,"(
                    41470人评价
                )"
乌合之众,8.3,群氓心理剖析,（法）勒庞 / 冯克利 / 中央编译出版社 / 2011-5-1 / 16.00元,"(
                    41841人评价
                )"
安徒生童话故事集,9.2,远不是童话那么简单,（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00,"(
                    37075人评价
                )"
动物农场,9.2,太阳底下并无新事,[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元,"(
                    36526人评价
                )"
半生缘,8.6,世钧，我们回不去了,张爱玲 / 北京十月文艺出版社 / 2006-12 / 28.00元,"(
                    39199人评价
                )"
地下铁,8.3,黑暗世界中的点滴亮光,幾米 / 辽宁教育出版社 / 2002-2 / 32.00元,"(
                    40195人评价
                )"
射雕英雄传（全四册）,8.9,侠之大者，为国为民,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元,"(
                    34696人评价
                )"
月亮忘記了,8.6,月明星稀的晚上，看不见的，看见了,幾米 / 格林 / 2000-2-1 / NT$ 299,"(
                    36219人评价
                )"
此间的少年,8.4,象牙塔里的金庸群侠,江南 / 华文出版社 / 2004-1 / 25.00元,"(
                    36686人评价
                )"
骆驼祥子,8.3,如骆驼喘息般深刻的绝望,老舍 / 人民文学出版社 / 2000-3-1 / 12.00,"(
                    37225人评价
                )"
孤独六讲,8.1,作为一种美学的孤独,蒋勋 / 广西师范大学出版社 / 2009-10-1 / 36.00元,"(
                    37894人评价
                )"
